household_id,household_size,children_count,income_annual_usd,rent_to_income_ratio,credit_score,prior_evictions_count,late_payment_count_last_year,monthly_rent,unit_bedrooms,unit_bathrooms,unit_sqft,building_age_years,utility_cost_monthly,school_quality_index,walkability_score,distance_to_cbd_km,lease_type,landlord_type,voucher_assistance,internet_access_type,heating_type,region,evicted_next_12m,moved_within_12m
11,2.3711742512629193,1.194382189009683,57192.89199284507,0.34550293856514214,687.8452398907187,0.09126028900937896,0.9579684585039538,1192.9391869449664,1.7880910189712476,2.220806618591891,1070.0293818970358,43.41032805671941,228.3447791515856,84.78394669708946,45.74021947760045,19.768893086173357,other,public_housing,no,cable,oil,south,no,no
12,4.241789868761189,1.7064148022067633,66462.13150095625,0.339247618415311,635.1489533450551,0.15009186463346508,0.8678868978032556,1163.287596039911,1.8220898178729934,1.9652998601255685,907.0337509079984,42.36783803670412,195.7347682370213,38.02251217492269,69.22106794462955,11.933029552895308,12-month,nonprofit,no,none,other,north,no,no
13,3.348292712672346,0.978027840072834,65710.06661634124,0.23053873568624916,662.444883693622,-0.015286512558726248,0.709811354250853,1015.465081745978,1.3166260437289543,1.3189395896960363,735.8073574933171,37.46433296539967,201.30409430531,26.69876127024456,50.52834711323382,12.324292422090622,6-month,private,no,dsl,gas,north,no,no
14,4.497147347625062,1.9978816615138721,68150.77947184276,0.5963567567887139,746.8022899394754,0.3227802266795977,0.9960358025341249,1498.1392576102753,2.784256202386046,2.6244988292230396,1319.5452552162415,65.03066768006055,299.1009925266697,96.20979883790922,87.87045532435289,28.77815630731937,month-to-month,corporate,no,dsl,gas,west,yes,no
15,1.332414433560483,1.6490635044567195,63499.91384849534,0.20542252211853584,650.0433219326484,-0.09534771150997388,-0.09615516820115233,1124.1669834300105,1.894645243544966,1.177667231734354,735.914901131973,25.64060243262607,152.83999918175743,22.123624974737286,59.21396637195252,6.420706392156667,other,public_housing,no,dsl,heat_pump,west,no,no
16,2.261861351495068,0.7736848541997299,37883.426965339146,0.32412407272148425,676.8681608709512,-0.21504930199174538,-0.20620412518270592,1025.3370820214307,1.3770696497500865,1.575919132895225,601.3124867594673,40.33859120753469,107.80705343003807,16.294351051297838,8.22169303568164,8.706061076351382,12-month,nonprofit,yes,mobile,oil,east,yes,yes
17,1.2133405167336277,0.6525687252422263,48708.83180251978,0.36015150947622776,677.0380522471753,-0.1634240963938362,0.6754911591073977,1043.6020259318166,1.6673316790463242,1.094410814809819,870.2862676309305,22.539084853704676,166.43576112443583,31.386322913795652,13.157264149773638,14.418929728685356,12-month,nonprofit,no,cable,other,east,yes,yes
18,1.4247770198097098,0.4250715771327791,43692.77505378665,0.2902484442924297,651.4188633494182,0.13084939872448995,-0.5226756304604437,1119.884862680742,1.5025617528384196,1.2387494636984253,685.7196120958138,13.906430352577075,168.0524278238319,38.79730757140099,6.42341379297423,12.176432116006696,other,nonprofit,no,none,heat_pump,west,yes,yes
19,3.159259605938696,2.337014497002045,61547.13263340078,0.493373591058177,693.5066273739747,0.2735954206591572,1.8416174327596715,1359.9811387489567,1.95677824781808,2.083627456236612,1161.6433478570107,74.32945080426714,206.85305887095612,47.116915528239815,48.210257059651546,22.089912074991727,month-to-month,private,no,fiber,gas,north,no,yes
20,2.9085070386218304,1.2002964860857763,77472.01510567605,0.3915661038097259,654.1528649607511,0.17628488602588882,1.0861247554382247,1481.9480937194671,1.8571923376323618,1.687177239427884,982.0025548651331,59.76543523877683,189.707168604769,52.402725758994244,51.81129321961183,15.991643599362519,other,public_housing,no,none,gas,north,no,yes
21,3.9100949863308214,2.112941425528015,92998.31652150903,0.4885801772803439,756.9012031073013,0.33009323345990926,0.9727332505442358,1645.5037800358768,2.785932174274691,2.6812327985863713,1281.6626393362687,62.179365753232105,273.5240933275553,97.5016818324166,69.83520702511993,27.67086488321662,12-month,nonprofit,no,dsl,oil,east,no,yes
22,2.4339421651526285,-0.19008055445678984,46195.440240150834,0.18240747245570466,620.8157992941767,-0.27582360162170566,-0.35316197500107804,814.9476904623292,0.8074047901100432,0.9720171277474178,672.3600356328636,4.653988002479188,126.8705894361462,33.60106695446802,31.66030410248355,7.656130621849801,6-month,private,yes,mobile,heat_pump,west,no,no
23,3.127577981880166,1.8169622517636879,43690.28382782276,0.2890209620345245,657.2580571895417,-0.0272334786129199,0.18288608378900628,1141.6423533512516,1.3424228731788217,1.3076459646418086,763.8367878031859,27.582420328467865,175.55659750200869,47.89833225307599,29.64475339565287,13.702286832002477,12-month,nonprofit,no,dsl,heat_pump,east,no,yes
24,2.457359286619548,1.6818351219685879,69674.05436433645,0.4608999175526174,654.1171723981995,0.10166824376045812,0.30796683640735767,1219.2912027067728,1.5586041577018501,1.6329772331540569,822.8510859074948,44.34442790591851,256.1721246395973,69.62749483891285,47.08628886995934,14.552998677274054,other,public_housing,no,cable,heat_pump,north,yes,no
25,1.2373723061245743,1.104360611930025,56546.30782240442,0.20704271487767142,633.9921749128636,-0.14412738113723533,0.3551095533030494,1026.045551729146,1.8009021831456036,1.4629802574824156,973.1064148522247,46.273640780033176,175.58524159586113,23.54125209730404,40.62693414611273,11.296117117542215,month-to-month,corporate,no,fiber,electric,north,no,no
26,3.3396752844999607,1.0242626795994076,77377.40086638277,0.26609444836618745,672.737812064665,-0.06197949641613161,0.1549363367713063,1124.9736654579667,1.6817065370814772,1.2024593229978722,697.6491914891155,33.99295761298239,184.44387848579956,41.7018147490468,36.15897916688975,12.880579827860556,12-month,nonprofit,yes,dsl,oil,north,no,no
27,4.226584873235395,3.075365170061386,81718.24073204969,0.5440902744090842,715.6448047569543,0.3043660571602185,0.912181437796572,1621.7037007901524,2.654404746974647,2.242120019054849,1079.8760177641861,56.9537846779762,239.8491361487694,76.78155107240835,62.27373084690332,17.908914383837075,12-month,nonprofit,no,mobile,oil,north,no,yes
28,0.9996189220326155,-0.8180933347934354,40018.39537635348,0.07503540346896581,589.3694987663952,-0.4047111022056971,-0.6981080703067654,722.1607104723861,0.49500561759174255,0.9966708613335518,613.5983283953212,-6.478432464792604,117.05104835166676,20.738775783796758,22.979995379295733,1.0995649903355496,12-month,nonprofit,no,fiber,heat_pump,north,no,no
29,3.320048502448796,2.31398943965988,69465.12217642073,0.4491296736183207,671.708421180826,0.2308574050716643,0.7170450330771614,1270.9241714754287,1.9048292084999032,1.9822131202697022,965.186341139701,41.372962278432524,204.88965683457533,46.552898865869324,72.1850586990374,16.542508541841226,6-month,private,no,fiber,other,east,no,no
30,4.209397252795368,2.2314891819496143,68494.69256154871,0.4264778936602005,669.7145710984358,0.13339188053591916,0.43508642445625245,1428.8673029980048,2.6595669709048835,1.6529034157566576,1131.852645626495,52.8373918406587,204.80739543708236,35.03822626276188,78.06507827771338,23.239657380228927,month-to-month,corporate,no,dsl,electric,south,no,no
31,4.695699334483169,2.253808989696271,86403.60114950212,0.5045439679370493,721.4911007754513,0.37564969205130305,1.155800493854818,1270.3131708500493,3.2109091305142936,2.7484675696427487,1093.979404987769,86.23804054725998,259.0413817354032,83.52124494576728,92.72610916946837,19.065506260191246,month-to-month,private,no,dsl,gas,west,no,no
32,2.439236096181256,1.0946327658577109,43788.684154007686,0.3356916807244652,652.9911937174966,-0.1327224497246216,-0.1629426271480402,1079.9298182924383,1.5572997518026956,1.6692509227791175,566.8829385830813,26.59688454557049,198.59517859742127,44.826756449041255,34.842745204186436,11.98012423373617,6-month,private,yes,cable,electric,south,yes,no
33,3.962046984663934,2.4011043268767582,60428.399423004295,0.3495186298311693,651.5539461745788,0.13173202785095262,0.3939503789622444,1182.5758400948048,1.6455520495288176,1.8457966268706854,1008.8970897173223,38.884355054317034,196.95529877639765,54.24798769175495,56.4381604041919,20.432045240177086,6-month,private,no,cable,heat_pump,north,no,no
34,3.207968804033951,1.3225751634347886,61172.10381977185,0.3788193914625272,680.0999222827252,-0.009406298118196252,0.06823760624863984,1108.4061489630994,1.4533453280126407,1.8153350398211399,1070.5042525053168,31.94996236406584,206.90193939283782,35.38701810381934,62.030598715964295,13.995516045189756,month-to-month,corporate,yes,mobile,gas,east,yes,no
35,2.7907270199472904,0.9951668083497788,50484.56900551975,0.33086444588671116,636.3268543702859,-0.156749363390512,-0.14982154205926246,829.1897173562262,1.7665267702100436,1.6258864113540616,722.7897101862667,38.371824216515336,178.79437166256818,34.9486387338065,20.15385388606275,6.6866035826436345,month-to-month,corporate,no,cable,other,south,yes,no
36,2.452025467264672,0.7639446406101671,60903.809285636205,0.2701308564638569,654.3205390201215,-0.022167200455829164,0.6235625060048642,1022.0586776637768,1.4364974117353055,1.3150330209303533,842.901019505877,65.7218511857898,214.24205522488643,44.70019256262564,43.97355232800375,18.864904526789,month-to-month,private,no,dsl,other,west,no,no
37,1.2070179382674198,1.4231807180734461,49431.00348128608,0.28791967931205753,602.8835698174568,-0.17246073531331962,-0.2973199238487787,908.9659813889391,1.4519253380955721,1.4423084007992835,922.0712691095387,20.400746149408047,146.83556489672213,13.998910479913505,36.7233697054019,9.44948223038779,other,public_housing,no,mobile,heat_pump,north,no,no
38,3.794312021787748,2.3925654593075594,65327.42468107362,0.49603758912769735,729.3359570753523,0.20184077675396428,0.6283544808309381,1524.3985863956018,1.9039538683808652,1.9325754889005027,1014.1223796062195,82.93874108692111,232.70243178054307,54.77827411527393,47.93326570622821,19.801287030857555,month-to-month,nonprofit,no,dsl,oil,east,yes,yes
39,3.225835269511041,2.3380305905280396,80025.28882954377,0.4866617388267369,718.5219043944942,0.29779968039179666,0.8758159244993153,1411.8195816528412,2.564050548696678,2.0677237172530303,1029.3159967734632,75.06194533085385,206.15194276745353,58.096412849913264,63.33796880678019,17.642321956022393,12-month,nonprofit,no,mobile,gas,north,no,yes
40,3.1344863990088996,1.731092179871085,54201.43547265515,0.22633456274415428,665.6996750091774,-0.026571853427771144,-0.005963074951606084,1197.811281704945,1.744827615926044,1.6516735261393343,682.6622487834843,47.70766689508788,176.75628255963068,45.14413226516851,57.93249399004617,17.33047971142328,month-to-month,corporate,no,fiber,oil,east,no,no
41,3.0242964649038564,1.091880172661257,71106.86896230537,0.3870400310983514,683.7674906127551,-0.08694724671746111,0.15835329455770736,1089.3930719265775,1.7261099818634222,1.5889437180903836,599.4591020664802,44.902666953199386,169.16942771295572,40.9629020670338,26.419008953662505,11.176308103635911,other,nonprofit,no,dsl,oil,west,yes,yes
42,3.4753812651998235,0.44606457082390083,65370.744834212084,0.3200116499314783,651.6131863316526,-0.0257416703742354,0.15788428650123215,992.5830895314273,1.7074785303211624,1.7362287139033532,738.743375054587,45.8111268437805,214.3932645310686,29.79862304663371,53.183267584870975,11.257409526628486,12-month,nonprofit,no,dsl,gas,north,no,no
43,3.442814536455284,2.5275219586139204,83655.55131278175,0.5101280247665319,712.9535587580806,0.20376297655607453,0.6528216217274164,1182.35762775667,2.622291705967985,1.6942675026276883,1037.2444346893321,72.31865553008197,249.0377916082435,75.55178532365495,67.86140104753565,19.864651364714746,6-month,private,no,fiber,heat_pump,south,yes,no
44,3.3888563819761774,1.3214057840280813,67741.03900456805,0.3547955319724668,668.2286232370363,0.119180453508805,0.5290502329603615,1171.83390379484,2.0975304138115787,1.5126623321231087,949.4351664851677,35.83815523917206,223.1658129781664,66.97288070267147,51.6967059987305,20.95005960357419,6-month,private,no,none,other,north,no,no
45,4.678389108490746,2.2143691535119814,97548.30780161977,0.395192277455966,684.3613003335565,0.30600057670898057,1.2904236882733529,1549.7902577582927,2.6028614234800296,2.2461400170216046,914.2752701671573,75.32040246303369,225.48786098731497,66.74019805987176,65.36199745982407,16.485998448470344,12-month,nonprofit,no,none,other,north,no,no
46,1.4391446927619855,0.3446375452352264,54231.549340071884,0.36660070491698465,658.9336325614131,-0.10373747418012343,0.3984648690578666,1126.094435647212,1.1693193703322762,1.3874224184930477,775.6233101732789,16.38354700109901,175.98878321078496,12.676863660257723,17.860594451323188,9.979035826066868,12-month,nonprofit,no,fiber,gas,north,yes,yes
47,2.841296609164531,1.974374317872128,68182.83042155187,0.36187073604155123,653.4505535242037,0.03666811806540453,0.07408158228783979,1056.6112499022122,1.9065903741294672,1.8833632545461887,835.7160111739507,43.2593575148033,196.04485126275947,26.910830216061715,51.70496522966039,13.802097109269754,month-to-month,corporate,no,none,oil,west,no,no
48,2.8376928447243106,0.45308870041611016,63957.1952486625,0.3190829455066999,645.7959339774827,-0.06674012334355191,0.4130754245872309,1167.3698394607716,1.1916214799234,1.1394630258339948,1033.4341451120795,47.62993838227295,200.1134878461015,24.38148216868672,40.296729529680434,16.09592431487518,12-month,nonprofit,no,none,electric,north,no,no
49,3.1120484138221918,2.0847947168230565,47747.36544670657,0.2427518765573063,658.7710493853842,-0.006902103682202343,0.30569191982606725,1065.8254101808066,1.8863678260716772,1.6592599455069879,826.6189217984877,46.92137096571538,206.43499017904838,69.89388315369513,68.70888599099584,12.38422752516944,other,public_housing,yes,cable,other,east,no,no
50,3.7898993029848,1.529691777355776,69245.54663890488,0.4012322249115095,638.7113724087551,0.10113371634415966,0.3870413284369981,1057.2735069579146,1.9824734076749557,1.8739258438232702,709.1786136181023,57.88014141421414,204.4150975564878,33.50475350204211,53.89287267875486,20.001153981706018,other,public_housing,yes,none,other,north,no,no
51,3.034509718308041,0.07553003731960106,63019.12963834501,0.15964156414055486,611.6079711588513,-0.1747369431747764,-0.20153946664136502,654.8342909099088,1.8789271888945505,1.7319853393707902,866.4448651817667,19.088066485210444,156.07778755874966,28.436709747241533,47.12646644862515,7.091896086057094,12-month,nonprofit,no,cable,electric,south,no,no
52,0.6276058653589955,-0.02522323771670676,50143.07926053194,0.14018466543088035,598.6641118466564,-0.26048417666611634,-0.4289364080685749,769.7474533294669,1.4769039120479763,0.9242482750358564,710.1704701080032,14.727058401935189,137.06825442096667,6.282755119161585,5.310657084726891,4.227895780346737,other,corporate,yes,none,electric,west,no,yes
53,2.177346147058439,0.244491685151639,61649.96802839556,0.33367567398623077,636.4095311224484,-0.1324036077337823,-0.1607267943509335,1018.6330903297217,1.5114049335391246,1.7936241406894138,883.415407582176,18.49243549656461,135.8616879702312,33.77057500124908,21.547834048335606,9.59931960824276,month-to-month,private,no,cable,gas,west,no,yes
54,2.365591909223258,1.7801914088008786,64125.12496536766,0.3370686702935215,646.8699907173071,0.022457140711383536,0.5105144924951148,1138.043914094112,2.339757323145758,1.7580353732010339,785.1964597209613,26.368006861635934,216.81269210406202,55.191201127543906,41.66352887091166,10.246473733678815,other,public_housing,no,fiber,oil,north,no,no
55,3.2453034278233943,1.9217677408080296,69997.67360271557,0.44287026547714814,684.0116638312589,0.0826617356614267,0.9570827609936723,1357.0802920234826,2.475754721332061,2.059328233576709,1199.65547232623,68.2794957810267,195.14512338425075,43.16295608266877,71.3510992162934,22.802332436313534,6-month,private,no,cable,electric,north,yes,no
56,2.9531442828562993,1.838868142602875,75516.5757778229,0.38784596811817046,653.4436531569825,0.04822119498544491,0.35594396283361507,1267.217904574756,2.085572520916766,1.899084129010896,926.0049246903942,40.38376716654591,195.0692415855399,47.687034427872774,60.936946153429986,13.22121675145107,month-to-month,corporate,no,none,gas,east,no,no
57,3.1417496953976554,2.254454589466405,65104.50395104793,0.3347966058066148,676.5647663406231,0.10301635079399918,1.1077707604052018,1279.335965872439,1.7118429406220081,1.9294682378281287,873.7615767725661,42.72528131288047,208.02345734877255,43.51561701731557,69.51853729082102,11.389206955291261,month-to-month,corporate,no,mobile,other,south,no,no
58,3.8516848389750926,2.0958455926963873,77940.35450223391,0.33856089885767426,677.5530121288683,0.08973261075306245,0.2933086039215117,1263.133635508285,2.0913205716024583,1.4762228753827877,967.7186018375158,67.01352291707295,209.96732963845673,48.640206792003994,32.74200701532908,14.918219302450296,month-to-month,nonprofit,no,mobile,other,east,no,yes
59,2.7888857433771643,0.30122883838141257,54906.77704909698,0.28498336201062846,646.7964889629252,-0.1563162056896592,-0.14482257986218083,780.0862067352325,0.9427085448351313,1.4811665132748961,616.021275186542,39.543552738482035,154.17749542674636,39.525903067153656,28.236722609531935,5.0615403641010435,6-month,private,yes,dsl,gas,east,no,no
60,2.8347690549448035,1.3308536550625645,77900.88492934486,0.3010141813878278,642.582626115065,0.02522627279634257,1.0559954938288283,1153.32492113524,1.955368088067831,1.8012768287156977,835.721431562911,46.34579567761096,170.92180906614163,26.2481414746394,63.08557118513315,11.153465670888355,month-to-month,public_housing,no,mobile,oil,west,no,no
61,3.9565217630038814,1.534534238694191,75479.94858628738,0.3825662731593056,654.3225909028778,0.12651950601273837,0.7513732958941131,1101.2023138135576,2.06138980135784,2.1425093415676226,843.1135312125086,46.96629096813787,220.92804676399982,59.8269471622276,71.96050343629292,12.403266864260015,other,public_housing,no,none,gas,west,no,no
62,1.1520198684599832,-0.31813381335703705,44312.35994585637,0.15430120136606776,616.4747728402483,-0.20379257443804222,0.864282353870871,976.0909117714729,1.753207590012294,1.4971291404107836,609.3782466996827,23.240153861298555,134.89019190039824,11.977116537046989,33.956359102194156,3.792334620683553,12-month,nonprofit,yes,mobile,electric,north,no,no
63,3.302676093697098,2.008072190397078,59946.919741778096,0.33815167387464373,683.5972082361614,0.04584231657575411,1.894588956507007,1105.9673599703408,2.4592807421715954,1.7068758047448342,948.7778219188166,35.50091994115476,188.23977704800024,61.31514793349886,46.75301667818041,15.861968792465552,12-month,nonprofit,no,mobile,oil,west,no,no
64,2.4169720461431083,0.8975606179144631,53438.26327162428,0.23532363198264575,638.0039842888577,-0.1367192087860971,0.25600152774659274,1042.5183029220796,1.0332717224827936,1.27984775492884,762.6208711434977,25.57132274365963,205.4343855918413,33.8332890967051,48.298145383423034,9.464823572704802,12-month,nonprofit,no,dsl,electric,west,no,no
65,3.2618507699866983,1.21692303068689,72670.36419323453,0.39354975443705653,670.3893205216566,0.11666359926159241,0.1979166176476474,1248.8046114133867,2.0102439032937327,1.596948316743293,930.9944864794385,57.42398014694623,167.17819318546745,48.6335816446355,59.33359970222752,13.248856143579388,6-month,private,no,none,other,east,yes,no
66,2.4847098245429793,2.4534981917517293,76228.12445686075,0.44461445919557013,671.5948661583061,0.1374099186849064,0.9784033473967848,1604.341066338558,1.914409729421814,2.1983478061854536,1063.1164476394563,55.21462553819295,200.28542890318658,66.9031351021468,69.95594344499136,15.815937341268866,other,public_housing,no,mobile,gas,east,no,no
67,2.8410617191732763,1.9037389724723996,59824.367657583294,0.2676925548022827,668.1278817418173,-0.031081961525062082,0.23269751974933106,1021.6164770653459,2.1395860662445108,2.070234474221403,891.3765228333749,41.197363578446726,197.4771920154213,35.02345933218381,45.33463740434959,16.01967172637409,other,nonprofit,yes,dsl,heat_pump,east,no,no
68,2.5635709549601895,1.3887695595821923,46221.77140816736,0.38229758782795487,673.7509966768735,0.08109030321637192,0.5171212055422373,1125.0907408858402,1.5159269164323332,1.930502827592045,778.0809649228152,60.777720842476505,205.40357271293723,66.80606463723427,63.06707465373079,19.39945967981533,other,public_housing,no,mobile,oil,north,no,no
69,3.0432833112661664,0.8833084610793557,43357.459979994164,0.30834179682575547,653.5325310106334,-0.10897295888962334,0.028467359615147125,927.2608588609937,1.6264297384216155,1.4188861936085635,727.0724763446844,49.53052916345766,199.52883363950187,22.164056783233654,26.80838901746504,14.639515064927732,month-to-month,corporate,no,fiber,heat_pump,north,no,yes
70,3.110795692625586,1.4483458616815845,76421.38359661645,0.41057350951765986,673.6059525073307,0.1351429963911881,0.5766880359273171,1109.4545089017133,1.7714304699719494,1.9348724187784168,941.4469891183012,79.74194869284295,242.39811621216901,67.25577823028934,42.61416424920898,20.840517016439424,other,public_housing,no,dsl,heat_pump,south,no,yes
71,3.7478858414764997,2.5745666694341383,78592.92133441867,0.37763904560680955,704.7806912273747,0.293527877883795,1.140130200471799,1304.8726887584305,2.5109326641641534,2.139312268063243,1202.8576453675378,86.50040163240453,243.72507469110613,65.11335536468086,51.019906194384305,25.540595383043435,month-to-month,public_housing,no,fiber,oil,north,no,yes
72,2.2373562181666857,1.1620545386987038,55773.02508568257,0.3608974855631602,630.0391651862676,-0.012929640756866742,0.19130862445978514,1256.6593555731688,1.5135376779934009,1.9762413075051923,969.8458747725148,59.76517648408269,181.5942110849216,26.274819299497718,50.373155914110285,19.158806838082292,month-to-month,corporate,no,none,heat_pump,east,no,no
73,3.468075472280176,1.9165318038696537,77200.50857075863,0.43362803937511807,695.6197502113607,0.20054430655388078,1.1164086644709728,1276.217935304233,1.9541501015403295,2.0752522147844554,1061.1770815117643,58.1508129701803,252.73479172345745,65.81394900880302,52.18208800723104,19.03574634737389,12-month,nonprofit,no,none,heat_pump,west,no,no
74,1.7996837932692273,1.3339199817062632,53319.78711045713,0.20883382791660005,614.3228980485404,-0.2217546375245673,0.1669320127988752,905.01285978068,1.0455908777606857,1.441573726245501,608.7650889382144,16.06068200898745,175.2602884530228,38.10388218791007,19.12326201909269,10.354385857390223,other,public_housing,yes,cable,heat_pump,west,no,no
75,3.0753372739878504,1.0488333714593059,48481.287404554416,0.22763134836024995,667.0790240410987,-0.1362772506560706,0.052789014125899536,1016.4204928532334,2.0931914500984585,1.6715863746809974,785.1904416860204,50.63325610836932,187.24712635313128,48.62849280140791,23.517934920940416,13.459266987315281,other,nonprofit,no,mobile,gas,west,no,yes
76,1.2131684842071717,0.43154639677591833,39529.28151482825,0.2838154973202346,638.0386152476733,-0.1269615713610449,0.5849734664731111,1068.467275989755,1.8682185037504606,1.0374578597578934,896.8805501210709,19.756149898416428,140.62094814302174,12.4418823338464,23.62708160181993,8.677788770355193,12-month,private,no,fiber,other,south,no,no
77,1.985083285391291,-0.18627780979117148,25942.568593030475,0.14180120725679396,606.3591699152174,-0.24736851201752713,0.07475773626510518,903.9904979227366,1.83901158662312,0.9952238587264843,640.6966518881231,29.779955230362855,147.96883547858297,2.873906617509796,8.100362550329606,8.959372960527025,other,private,no,dsl,electric,north,no,yes
78,3.1138203425838595,0.42535623511564524,40030.24411455154,0.3176413198256687,649.859031628722,-0.08537411912191402,0.13736898757575322,1165.3646282985897,1.3945323838285262,1.229588089458427,892.2649476146057,43.07328771941947,217.6631186258147,28.08942343426526,50.76053621808162,11.138209745613413,other,public_housing,no,dsl,other,west,no,no
79,2.3300879051600956,1.7540349344992303,55131.07483004839,0.3829303606055917,674.8486453947663,-0.038279888021797256,0.6194546114586824,1055.3896077765917,2.095630903571712,1.7296420526973195,719.9687196073232,57.09625286110329,176.49498436044857,42.12236609443826,29.93564296498157,14.883515741138096,6-month,nonprofit,no,mobile,gas,east,yes,yes
80,3.931898341804695,1.544111109159218,77038.75297009466,0.461767158405645,672.7702942968001,0.07048399955879063,0.4839272601712177,1356.2807314814365,2.0955935915097528,1.7511877058987984,851.4026454911121,42.386811194119815,200.5116292883131,51.574387134333136,53.578624602539115,21.179774714670167,month-to-month,corporate,no,cable,electric,west,yes,no
81,3.5258941816253113,2.0036829364304696,76165.65618602258,0.5422896590540912,731.0679309047109,0.2567309364346283,0.7327471768424937,1555.96057684945,2.6001399126512013,1.9418719437843914,1006.5729849456445,75.59099933276504,287.47018690352,55.37803411574218,79.5319438751439,28.023361746635242,12-month,nonprofit,yes,dsl,electric,west,yes,no
82,2.0596528662328715,0.8638014224833047,53028.451407201916,0.37686820914151653,637.2900810541317,0.04316217497307908,0.6167409608767005,1167.0817048107485,1.7914762068089924,1.7414328764146911,726.8838162006979,39.505779292931116,206.41451440865202,32.929155204664,50.93211974945363,8.627026269330152,other,public_housing,yes,cable,electric,east,no,no
83,2.94264424745825,1.8465607586147865,61961.60047247856,0.25907498059075806,683.8130179593767,-0.03315631595694281,0.574801992188058,1051.255972844718,1.3282667264313694,1.547395203102602,760.2959406660319,32.516141913669856,211.9722999991656,39.00863952686066,29.45110050960572,10.036496290118949,12-month,nonprofit,no,dsl,oil,south,no,yes
84,4.93234568796511,2.0693680677822917,84100.740372181,0.5990057655793523,749.760183651747,0.36739225562677824,1.8907872125798235,1421.8551418056559,3.329598299122355,2.212060986780987,1136.6271792567125,60.4258527850803,231.81890879504357,71.51425453713864,79.13311759828137,28.7633898416975,12-month,nonprofit,yes,dsl,heat_pump,east,yes,no
